Year,Restaurant,Full Address,Lat,Lon,Total Buckets,Shell Only Weight
2023,Van Rensselaer's Restaurant and Raw Bar,"1019 US-6,  South Wellfleet, MA 02663",41.905133,-69.9854151,145,2352.85
2024,Van Rensselaer's Restaurant and Raw Bar,"1019 US-6,  South Wellfleet, MA 02663",41.905133,-69.9854151,151,2944.74
2021,The Wicked Oyster,"50 Main St,  Wellfleet, MA 02667",41.938094,-70.022751,52,975
2022,The Wicked Oyster,"50 Main St,  Wellfleet, MA 02667",41.938094,-70.022751,189,2388.22
2023,The Wicked Oyster,"50 Main St,  Wellfleet, MA 02667",41.938094,-70.022751,117,1753.16
2024,The Wicked Oyster,"50 Main St,  Wellfleet, MA 02667",41.938094,-70.022751,91,1798.77
2025,The Wicked Oyster,"50 Main St,  Wellfleet, MA 02667",41.938094,-70.022751,162,3474
2021,Wilbur Park,"440 Highbank Rd,  South Yarmouth, MA 02664",41.6848966,-70.1606171,0,0
2022,Wilbur Park,"440 Highbank Rd,  South Yarmouth, MA 02664",41.6848966,-70.1606171,0,0
2023,Wilbur Park,"440 Highbank Rd,  South Yarmouth, MA 02664",41.6848966,-70.1606171,0,0
2024,Wilbur Park,"440 Highbank Rd,  South Yarmouth, MA 02664",41.6848966,-70.1606171,11,169.19
2021,Winslow's Tavern,"316 Main St,  Wellfleet, MA 02667",41.9386027,-70.0315696,199,3850
2022,Winslow's Tavern,"316 Main St,  Wellfleet, MA 02667",41.9386027,-70.0315696,244,4183.8
2023,Winslow's Tavern,"316 Main St,  Wellfleet, MA 02667",41.9386027,-70.0315696,244,5092.47
2024,Winslow's Tavern,"316 Main St,  Wellfleet, MA 02667",41.9386027,-70.0315696,249,5334
2025,Winslow's Tavern,"316 Main St,  Wellfleet, MA 02667",41.9386027,-70.0315696,231,6729
